Coordinates,Region
43.27959805,76.94314332526287, улица Ногайбаева
43.227533699999995,76.91968075, Коктем 2-й микрорайон
43.219593599999996,76.9219332376212, 71/21
43.23843255,76.86212940210024, Өтеген батыр көшесі
43.2010924,76.89884958190567, проспект Гагарина
43.25355815,76.86676556576857, улица Грановского
43.188037449999996,76.79392932542063, Аккияш ул.
43.22043755,76.86425361926334, Ауэзовский район
43.3345786,76.9416846, Түрксіб ауданы
43.21540495,76.84507544801468, Мамыр 4-й микрорайон
43.24543345,76.92642173852546, Байтұрсынұлы көшесі
43.202196799999996,76.90093892558392, переулок Дружбы
43.24376115,76.9491803, 164
43.2114744,76.8885545, Орбита
43.2199676,76.8782787147417, улица Садовникова
43.2590077,76.8868413, Тастак
43.2864794,76.8407261, Көкқайнар
43.2090034,76.8009831, Шұғыла
43.24629185,76.91205144717529, Байзақов көшесі
43.2466164,76.949623, Медеу ауданы
43.22914625,76.90724177797406, Әуезов көшесі
43.2413058,76.8388496, Аксай
43.2579523,76.92229824768579, 124
43.3066137,76.92275219965327, Кулагер микрорайон
43.223830449999994,76.90050445, улица Жарокова
43.2114122,76.84094118396436, Мамыр 7-й микрорайон
43.3231937,76.91365934999999, улица Жумабаева
43.32756655,76.95810590696027, улица Стасова
43.253678050000005,76.93381679634047, Төле би көшесі
43.32468575,76.93339725, улица Палладина
43.2569686,76.9517013, Медеу ауданы
43.246126149999995,76.91058634817693, Жамбыл көшесі
43.2548585,76.9584609025346, улица Калдаякова
43.3083605,76.88966975170683, улица Бекболата (Ожет)
43.296275,76.948662, Түрксіб ауданы
43.21109185,76.87758944999999, улица Сулейменова
43.3135666,76.95785871846566, улица Таштитова
43.24267985,76.8111545528902, Алатау ауданы
43.30435845,76.91844889282635, улица Казыбаева
43.2430204,76.9189713, 141
43.2452303,76.87692821986667, улица Брусиловского
43.321610449999994,76.91782409999999, Макатаева (Айнабулак)
43.252156549999995,76.92786985265387, улица Богенбай Батыра
43.330945150000005,76.96199896221594, проспект Суюнбая
43.297636749999995,76.96354545, Кызыл-Ординская улица
43.368289700000005,76.9859268, Проспект Суюнбая
43.188568599999996,76.82642468905698, улица Сагдиева
43.2748218,76.89633612403246, улица Венецианова
43.2894599,76.93316125, улица Акпаева
43.2908347,76.95013290146034, улица Есенова
43.3334585,76.9940097, Маяк
43.22216385,76.95304205678812, 301
43.272942400000005,76.95406109780814, улица Герасима Колпаковского
43.24445435,76.9547496, улица Пушкина
43.2579523,76.92229824768579, 124
43.212262249999995,76.84375651331412, Мамыр 1-й микрорайон
43.33981535,76.99098765, Норильская улица
43.2216935,76.89151257122654, Розыбакиев көшесі
43.3139773,76.888074, Ужет
43.26904665,76.98255074473533, Средняя улица
43.2415576,76.907702, улица Манаса
43.2517769,76.8802991, 67
43.33857235,76.94089592107073, Кунгурская улица
43.2650652,76.9171111, Алмалинский район
43.276444299999994,76.95848745, улица Шаврова
43.27616885,76.95491842663164, улица Потанина
43.243348749999996,76.87713785248626, улица Брусиловского
43.2906162,76.9383393, Жетісу ауданы
43.24595785,76.81783280678198, Аккент микрорайон
43.321533200000005,76.9791783, улица Баймагамбетова
43.3067238,76.92226835, Кулагер микрорайон
43.2720618,76.89281426803498, улица Столетова
43.2811528,76.9605938, Жетысуская улица
43.2709698,76.9246762, Жетісу ауданы
43.24295035,76.89057485000001, Шевченко көшесі
43.218246,76.89309273836656, Өтепов көшесі
43.20901155,76.89413308120494, Розыбакиев көшесі
43.2776148,76.93428275, улица Осоавиахима
43.2413341,76.965722, Медеу ауданы
43.3288511,76.9263837, Айнабулак
43.3319311,76.9460917, улица Чернышевского
43.30509695,76.96758845, улица Баймагамбетова
43.35776145,76.9999519, улица Асылбекова
43.2027523,76.8942077, Орбита
43.35717615,76.92499629988149, Кокжиек микрорайон
43.3386978,76.94908825, улица Тынышбаева
43.3404433,76.9624041, микрорайон "Пятилетка"
43.3288511,76.9263837, Айнабулак
43.23714355,76.85629695019763, улица Кабдолова
43.20648615,76.86679981316885, улица Пятницкого
43.253678050000005,76.93381679634047, Төле би көшесі
43.260166749999996,76.96107321164052, ЖК
43.34224295,76.99277312573571, Новокузнецкая улица
43.2404524,76.9195101, ЖК Бухар Тауэр
43.25234435,76.88155314822384, 70
43.31060375,76.97097364999999, улица Баймагамбетова
43.2341552,76.8856494, Бостандық ауданы
43.2631915,76.9647363, Медеу ауданы
